점포명,유형,위치,위도,경도
노브랜드 인천심곡점,준대규모 점포,인천광역시 서구 서곶로 300 (심곡동) 1층,37.54427977,126.6772389
계양산 전통시장,전통시장,계양구 병방시장로 69 일대,37.54803137,126.7394455
홈플러스익스프레스 연희점,준대규모 점포,인천광역시 서구 서곶로 351 (연희동 687-1),37.54904487,126.6766807
연희로 골목형 상점가,상점가,서구 연희로14번길 10~대평로8번길 2일원(연희동),37.55003156,126.6756983
홈플러스익스프레스 경서점,준대규모 점포,인천광역시 서구 경서로69번길 (경서동 728-4),37.55860814,126.6527977
경서 골목형상점가,상점가,서구 도요지로 15 ~ 경서로70번길 1 일원 (경서동),37.56006588,126.6532357
이마트 에브리데이 검암점,준대규모 점포,인천광역시 서구 승학로 504 (검암동 610-5),37.56507387,126.675682
GS 더프레시 검암푸르지오점,준대규모 점포,"인천광역시 서구 한들로 33, 검암역로열파크시티푸르지오 1단지 근린생활시설 5동 지하1층 B101호 (1개 호수)",37.57876607,126.6645957
GS THE FRESH 검단대방점,준대규모 점포,"인천광역시 서구 이음2로 30(당하동, 대방디에트르 더 펠리체) B101~B105호",37.58511452,126.7098098
이마트 검단점,대형마트,인천광역시 서구 서곶로 754당하동 1065-1번지),37.58577158,126.6774449
GS 더프레시 검단법원점,준대규모 점포,"인천광역시 서구 서로3로 104, 신화프라자 근린생활시설 1층 107호~110호(4개호수)",37.58883157,126.7076978
GS슈퍼마켓 당하점,준대규모 점포,인천광역시 서구 청마로167번길 12 (당하동 1095-6),37.5925753,126.6756346
홈플러스익스프레스 당하점,준대규모 점포,인천광역시 서구 청마로167번길 14 (당하동 925-16),37.59258981,126.6753093
청마로 골목형상점가,상점가,서구 청마로 175 ~ 청마로167번안길 23 일원(당하동),37.59287661,126.6764276
노브랜드 인천원당점,준대규모 점포,"인천광역시 서구 원당대로 865 (원당동) 110호~115호(원당동,대산프라자)",37.59385217,126.6977273
검단공구상가,전문점,인천광역시 서구 보듬5로 13(오류동 1640-2번지),37.59400954,126.6125443
롯데마트 검단점,대형마트,인천광역시 서구 원당대로 581(마전동 1031-1번지),37.59453197,126.6645754
원당중앙로 골목형상점가,상점가,서구 고산후로121번길 25 ~ 원당대로 859 일원(원당동),37.59463222,126.6964511
이마트 에브리데이 마전점,준대규모 점포,인천광역시 서구 서곶로 884(마전동 1054-1 외 1필지),37.59577153,126.6751993
단봉로 골목형상점가,상점가,서구 단봉로 97 ~ 단봉로 99 일원(오류왕길동),37.59703062,126.6408274
노브랜드 인천마전점,준대규모 점포,"인천광역시 서구 완정로64번길 4(마전동, 영남탑스빌상가)",37.59744781,126.6683608
홈플러스익스프레스 마전점,준대규모 점포,인천광역시 서구 완정로64번길 4 (마전동 641),37.59744781,126.6683608
탑스빌웰빙타운,쇼핑센터,인천광역시 서구 완정로 70(마전동 999-4번지),37.59801105,126.6673174
롯데프레시 검단예미지점,준대규모 점포,"인천광역시 서구 원당동 1014, 검단신도시예미지트리플에듀 상가동 113~117호",37.60001586,126.7138573
노브랜드 인천마전점,준대규모 점포,"인천광역시 서구 검단로 492 (마전동, 세훈빌딩)",37.6022292,126.6588557
GS슈퍼마켓 왕길점,준대규모 점포,인천광역시 서구 완정로 193 (왕길동 635-1),37.60271111,126.6548509
롯데프레시 인천마전점,준대규모 점포,"인천광역시 서구 마전동 904-3, 102호",37.60324844,126.655213
노브랜드 인천불로점,준대규모 점포,인천광역시 서구 검단로 747 (불로동),37.61291906,126.6836418
이마트 에브리데이 불로점,준대규모 점포,"인천광역시 서구 검단로 779 (불로동 324-11,-12)",37.61475767,126.6859575
월드상가 골목형상점가,상점가,서구 검단로 842 일원(불로동),37.6186272,126.6908983
강화버스터미널시장,전통시장,강화군 강화읍 중앙로 43,37.73977668,126.4904067
강화풍물시장,전통시장,강화군 강화읍 중앙로 17-9,37.74142155,126.4928692
고려 골목형상점가,상점가,강화군 강화읍 관청리 501-1,37.74748621,126.484342
강화중앙시장,전통시장,"강화군 강화읍 강화대로 429(A동),430(B동)",37.74759546,126.484189
강화 골목형상점가,상점가,강화군 강화읍 관청리 544-5,37.74793079,126.4825021
대룡시장 골목형상점가,상점가,강화군 교동면 대룡리 465-2,37.78272969,126.2797107
