auctn_seq,corp_cd,corp_gds_cd,corp_gds_item_nm,corp_gds_vrty_nm,corp_nm,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,mdfcn_dt,pkg_cd,pkg_nm,plor_cd,plor_nm,qty,scsbd_dt,scsbd_prc,spm_no,trd_clcln_ymd,trd_se,unit_cd,unit_nm,unit_qty,whsl_mrkt_cd,whsl_mrkt_nm
004,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,1.000,2026-05-18 07:38:47,30000.000,99101,2026-05-18,경매,12,kg,13.000,230003,인천삼산
003,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,800PH,필리핀,6.000,2026-05-18 07:38:47,30000.000,99101,2026-05-18,경매,12,kg,13.000,230003,인천삼산
002,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,1.000,2026-05-18 07:38:47,30000.000,99101,2026-05-18,경매,12,kg,13.000,230003,인천삼산
001,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,800PH,필리핀,2.000,2026-05-18 07:38:47,30000.000,99101,2026-05-18,경매,12,kg,13.000,230003,인천삼산
002,23000302,41907,과실류,그린키위(수입),㈜경인농산,06,과실류,11,참다래(키위),98,키위(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,5.000,2026-05-18 07:38:47,58000.000,99102,2026-05-18,경매,12,kg,10.000,230003,인천삼산
001,23000302,41906,과실류,골드키위(수입),㈜경인농산,06,과실류,11,참다래(키위),98,키위(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,10.000,2026-05-18 07:38:47,43000.000,99102,2026-05-18,경매,12,kg,5.800,230003,인천삼산
003,23000302,21412,엽경채류,포기상추,㈜경인농산,10,엽경채류,05,상추,05,포기찹,2026-05-18 08:25:04,101,상자,415000,경기도 김포시,4.000,2026-05-18 07:38:46,5500.000,03001,2026-05-18,경매,12,kg,4.000,230003,인천삼산
002,23000302,21412,엽경채류,포기상추,㈜경인농산,10,엽경채류,05,상추,05,포기찹,2026-05-18 08:25:04,101,상자,415000,경기도 김포시,4.000,2026-05-18 07:38:46,5500.000,03001,2026-05-18,경매,12,kg,4.000,230003,인천삼산
001,23000302,21412,엽경채류,포기상추,㈜경인농산,10,엽경채류,05,상추,05,포기찹,2026-05-18 08:04:12,101,상자,415000,경기도 김포시,12.000,2026-05-18 07:38:46,5500.000,03001,2026-05-18,경매,12,kg,4.000,230003,인천삼산
018,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,80000,-,6.000,2026-05-18 07:38:46,24000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
017,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,80000,-,6.000,2026-05-18 07:38:46,24000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
016,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,80000,-,7.000,2026-05-18 07:38:46,22500.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
015,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,80000,-,7.000,2026-05-18 07:38:46,22500.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
014,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,80000,-,7.000,2026-05-18 07:38:46,22000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
013,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,80000,-,8.000,2026-05-18 07:38:46,22000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
012,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,80000,-,8.000,2026-05-18 07:38:46,22000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
011,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,80000,-,8.000,2026-05-18 07:38:46,22000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
010,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,80000,-,5.000,2026-05-18 07:38:46,24000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
009,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,80000,-,5.000,2026-05-18 07:38:46,24000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
008,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,80000,-,8.000,2026-05-18 07:38:46,25000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
007,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,80000,-,8.000,2026-05-18 07:38:46,25000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
006,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,80000,-,9.000,2026-05-18 07:38:46,24000.000,98301,2026-05-18,경매,12,kg,13.000,230003,인천삼산
